Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),source_file
03/01/2026 04:00,MHK VL,61756,44.92,1.31,0.0,20260301damlbmp_zone.csv
03/01/2026 04:00,MILLWD,61759,45.13,1.53,0.0,20260301damlbmp_zone.csv
03/01/2026 04:00,N.Y.C.,61761,45.49,1.87,0.0,20260301damlbmp_zone.csv
03/01/2026 04:00,NORTH,61755,44.74,1.13,0.0,20260301damlbmp_zone.csv
03/01/2026 04:00,NPX,61845,44.74,1.13,0.0,20260301damlbmp_zone.csv
03/01/2026 04:00,O H,61846,40.78,-2.83,0.0,20260301damlbmp_zone.csv
03/01/2026 04:00,PJM,61847,37.38,-0.52,5.71,20260301damlbmp_zone.csv
03/01/2026 04:00,WEST,61752,41.69,-1.92,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,CAPITL,61757,44.29,1.75,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,CENTRL,61754,41.99,-0.55,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,DUNWOD,61760,44.21,1.66,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,GENESE,61753,40.55,-2.0,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,H Q,61844,42.89,0.34,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,HUD VL,61758,44.04,1.49,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,LONGIL,61762,45.19,2.64,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,MHK VL,61756,43.78,1.23,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,MILLWD,61759,44.12,1.58,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,N.Y.C.,61761,44.51,1.96,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,NORTH,61755,43.48,0.93,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,NPX,61845,43.82,1.28,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,O H,61846,39.4,-3.15,0.0,20260301damlbmp_zone.csv
03/01/2026 05:00,PJM,61847,39.32,-0.6,2.63,20260301damlbmp_zone.csv
03/01/2026 05:00,WEST,61752,40.29,-2.26,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,CAPITL,61757,49.43,1.99,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,CENTRL,61754,46.87,-0.57,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,DUNWOD,61760,49.2,1.76,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,GENESE,61753,45.31,-2.13,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,H Q,61844,46.65,0.38,1.17,20260301damlbmp_zone.csv
03/01/2026 06:00,HUD VL,61758,49.0,1.56,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,LONGIL,61762,49.95,2.51,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,MHK VL,61756,48.82,1.38,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,MILLWD,61759,49.15,1.71,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,N.Y.C.,61761,49.39,1.95,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,NORTH,61755,48.63,1.19,0.0,20260301damlbmp_zone.csv
03/01/2026 06:00,NPX,61845,47.65,1.38,1.17,20260301damlbmp_zone.csv
03/01/2026 06:00,O H,61846,42.81,-3.46,1.17,20260301damlbmp_zone.csv
03/01/2026 06:00,PJM,61847,42.29,-0.71,4.44,20260301damlbmp_zone.csv
03/01/2026 06:00,WEST,61752,44.88,-2.56,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,CAPITL,61757,49.51,2.0,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,CENTRL,61754,46.99,-0.52,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,DUNWOD,61760,49.04,1.52,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,GENESE,61753,45.38,-2.14,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,H Q,61844,49.06,0.38,-1.17,20260301damlbmp_zone.csv
03/01/2026 07:00,HUD VL,61758,48.84,1.33,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,LONGIL,61762,49.56,2.04,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,MHK VL,61756,49.04,1.52,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,MILLWD,61759,48.99,1.47,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,N.Y.C.,61761,49.18,1.66,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,NORTH,61755,48.65,1.14,0.0,20260301damlbmp_zone.csv
03/01/2026 07:00,NPX,61845,50.16,1.47,-1.17,20260301damlbmp_zone.csv
03/01/2026 07:00,O H,61846,45.07,-3.61,-1.17,20260301damlbmp_zone.csv
03/01/2026 07:00,PJM,61847,45.86,-0.81,0.85,20260301damlbmp_zone.csv
03/01/2026 07:00,WEST,61752,44.81,-2.71,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,CAPITL,61757,52.24,2.15,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,CENTRL,61754,49.19,-0.9,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,DUNWOD,61760,52.29,2.2,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,GENESE,61753,47.18,-2.91,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,H Q,61844,50.44,0.35,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,HUD VL,61758,51.94,1.85,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,LONGIL,61762,53.24,3.16,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,MHK VL,61756,51.39,1.3,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,MILLWD,61759,52.24,2.15,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,N.Y.C.,61761,52.39,2.31,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,NORTH,61755,51.19,1.1,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,NPX,61845,51.79,1.7,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,O H,61846,45.23,-4.86,0.0,20260301damlbmp_zone.csv
03/01/2026 08:00,PJM,61847,42.39,-0.95,6.74,20260301damlbmp_zone.csv
03/01/2026 08:00,WEST,61752,46.13,-3.96,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,CAPITL,61757,52.23,2.25,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,CENTRL,61754,48.93,-1.05,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,DUNWOD,61760,52.38,2.4,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,GENESE,61753,46.88,-3.1,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,H Q,61844,50.33,0.35,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,HUD VL,61758,51.98,2.0,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,LONGIL,61762,53.63,3.65,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,MHK VL,61756,51.08,1.1,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,MILLWD,61759,52.28,2.3,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,N.Y.C.,61761,52.53,2.55,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,NORTH,61755,51.03,1.05,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,NPX,61845,51.73,1.75,0.0,20260301damlbmp_zone.csv
03/01/2026 09:00,O H,61846,45.4,-5.2,-0.62,20260301damlbmp_zone.csv
03/01/2026 09:00,PJM,61847,40.04,-1.0,8.94,20260301damlbmp_zone.csv
03/01/2026 09:00,WEST,61752,45.68,-4.3,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,CAPITL,61757,66.62,3.11,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,CENTRL,61754,61.67,-1.84,0.0,20260301damlbmp_zone.csv
03/01/2026 10:00,DUNWOD,61760,66.87,3.36,0.0,20260301damlbmp_zone.csv
