Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/09/2026 00:00,CAPITL,61757,35.14,1.16,0.00
03/09/2026 00:00,CENTRL,61754,33.31,-0.68,0.00
03/09/2026 00:00,DUNWOD,61760,35.58,1.60,0.00
03/09/2026 00:00,GENESE,61753,31.98,-2.01,0.00
03/09/2026 00:00,H Q,61844,34.02,0.03,0.00
03/09/2026 00:00,HUD VL,61758,35.31,1.32,0.00
03/09/2026 00:00,LONGIL,61762,36.09,2.11,0.00
03/09/2026 00:00,MHK VL,61756,34.36,0.37,0.00
03/09/2026 00:00,MILLWD,61759,35.45,1.46,0.00
03/09/2026 00:00,N.Y.C.,61761,35.75,1.77,0.00
03/09/2026 00:00,NORTH,61755,33.92,-0.07,0.00
03/09/2026 00:00,NPX,61845,36.17,1.26,-0.93
03/09/2026 00:00,O H,61846,29.98,-4.01,0.00
03/09/2026 00:00,PJM,61847,33.00,-0.99,0.00
03/09/2026 00:00,WEST,61752,30.08,-3.91,0.00
03/09/2026 01:00,CAPITL,61757,32.17,1.03,0.00
03/09/2026 01:00,CENTRL,61754,30.52,-0.62,0.00
03/09/2026 01:00,DUNWOD,61760,32.51,1.37,0.00
03/09/2026 01:00,GENESE,61753,29.28,-1.87,0.00
03/09/2026 01:00,H Q,61844,31.17,0.03,0.00
03/09/2026 01:00,HUD VL,61758,32.33,1.18,0.00
03/09/2026 01:00,LONGIL,61762,33.01,1.87,0.00
03/09/2026 01:00,MHK VL,61756,31.49,0.34,0.00
03/09/2026 01:00,MILLWD,61759,32.42,1.28,0.00
03/09/2026 01:00,N.Y.C.,61761,32.64,1.49,0.00
03/09/2026 01:00,NORTH,61755,31.05,-0.09,0.00
03/09/2026 01:00,NPX,61845,32.20,1.06,0.00
03/09/2026 01:00,O H,61846,27.34,-3.80,0.00
03/09/2026 01:00,PJM,61847,30.21,-0.93,0.00
03/09/2026 01:00,WEST,61752,27.50,-3.64,0.00
03/09/2026 02:00,CAPITL,61757,30.95,0.96,0.00
03/09/2026 02:00,CENTRL,61754,29.39,-0.60,0.00
03/09/2026 02:00,DUNWOD,61760,31.34,1.35,0.00
03/09/2026 02:00,GENESE,61753,28.13,-1.86,0.00
03/09/2026 02:00,H Q,61844,30.02,0.03,0.00
03/09/2026 02:00,HUD VL,61758,31.13,1.14,0.00
03/09/2026 02:00,LONGIL,61762,31.82,1.83,0.00
03/09/2026 02:00,MHK VL,61756,30.32,0.33,0.00
03/09/2026 02:00,MILLWD,61759,31.25,1.26,0.00
03/09/2026 02:00,N.Y.C.,61761,31.49,1.50,0.00
03/09/2026 02:00,NORTH,61755,29.90,-0.09,0.00
03/09/2026 02:00,NPX,61845,30.95,0.96,0.00
03/09/2026 02:00,O H,61846,26.15,-3.84,0.00
03/09/2026 02:00,PJM,61847,29.09,-0.90,0.00
03/09/2026 02:00,WEST,61752,26.36,-3.63,0.00
03/09/2026 03:00,CAPITL,61757,31.55,1.01,0.00
03/09/2026 03:00,CENTRL,61754,29.96,-0.58,0.00
03/09/2026 03:00,DUNWOD,61760,31.73,1.19,0.00
03/09/2026 03:00,GENESE,61753,28.77,-1.77,0.00
03/09/2026 03:00,H Q,61844,30.57,0.03,0.00
03/09/2026 03:00,HUD VL,61758,31.58,1.04,0.00
03/09/2026 03:00,LONGIL,61762,32.19,1.65,0.00
03/09/2026 03:00,MHK VL,61756,30.88,0.34,0.00
03/09/2026 03:00,MILLWD,61759,31.67,1.13,0.00
03/09/2026 03:00,N.Y.C.,61761,31.80,1.25,0.00
