Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/15/2026 00:00,CAPITL,61757,49.66,1.02,0.00
03/15/2026 00:00,CENTRL,61754,48.16,-0.49,0.00
03/15/2026 00:00,DUNWOD,61760,50.30,1.65,0.00
03/15/2026 00:00,GENESE,61753,46.36,-2.29,0.00
03/15/2026 00:00,H Q,61844,48.93,0.29,0.00
03/15/2026 00:00,HUD VL,61758,50.00,1.36,0.00
03/15/2026 00:00,LONGIL,61762,49.56,0.92,0.00
03/15/2026 00:00,MHK VL,61756,49.91,1.26,-0.01
03/15/2026 00:00,MILLWD,61759,50.15,1.51,0.00
03/15/2026 00:00,N.Y.C.,61761,50.49,1.85,0.00
03/15/2026 00:00,NORTH,61755,49.61,0.92,-0.05
03/15/2026 00:00,NPX,61845,49.27,0.63,0.00
03/15/2026 00:00,O H,61846,43.53,-5.11,0.00
03/15/2026 00:00,PJM,61847,41.00,-1.41,6.23
03/15/2026 00:00,WEST,61752,44.36,-4.28,0.00
03/15/2026 01:00,CAPITL,61757,47.72,0.98,0.00
03/15/2026 01:00,CENTRL,61754,46.22,-0.51,0.00
03/15/2026 01:00,DUNWOD,61760,48.23,1.50,0.00
03/15/2026 01:00,GENESE,61753,44.36,-2.38,0.00
03/15/2026 01:00,H Q,61844,47.02,0.28,0.00
03/15/2026 01:00,HUD VL,61758,48.00,1.26,0.00
03/15/2026 01:00,LONGIL,61762,47.39,0.65,0.00
03/15/2026 01:00,MHK VL,61756,47.91,1.17,0.00
03/15/2026 01:00,MILLWD,61759,48.14,1.40,0.00
03/15/2026 01:00,N.Y.C.,61761,48.42,1.68,0.00
03/15/2026 01:00,NORTH,61755,47.62,0.89,0.00
03/15/2026 01:00,NPX,61845,47.30,0.56,0.00
03/15/2026 01:00,O H,61846,41.46,-5.28,0.00
03/15/2026 01:00,PJM,61847,39.00,-1.54,6.20
03/15/2026 01:00,WEST,61752,42.25,-4.49,0.00
03/15/2026 02:00,CAPITL,61757,44.48,0.92,0.00
03/15/2026 02:00,CENTRL,61754,43.06,-0.65,-0.14
03/15/2026 02:00,DUNWOD,61760,44.83,1.26,0.00
03/15/2026 02:00,GENESE,61753,41.04,-2.53,0.00
03/15/2026 02:00,H Q,61844,43.62,0.35,0.29
03/15/2026 02:00,HUD VL,61758,44.66,1.09,0.00
03/15/2026 02:00,LONGIL,61762,43.96,0.39,0.00
03/15/2026 02:00,MHK VL,61756,45.64,1.09,-0.98
03/15/2026 02:00,MILLWD,61759,44.74,1.18,0.00
03/15/2026 02:00,N.Y.C.,61761,45.00,1.44,0.00
03/15/2026 02:00,NORTH,61755,49.09,1.13,-4.39
03/15/2026 02:00,NPX,61845,44.18,0.61,0.00
03/15/2026 02:00,O H,61846,38.12,-5.45,0.00
03/15/2026 02:00,PJM,61847,37.03,-1.70,4.84
03/15/2026 02:00,WEST,61752,38.73,-4.84,0.00
03/15/2026 03:00,CAPITL,61757,43.65,0.86,0.00
03/15/2026 03:00,CENTRL,61754,42.20,-0.60,0.00
03/15/2026 03:00,DUNWOD,61760,43.99,1.20,0.00
03/15/2026 03:00,GENESE,61753,40.40,-2.40,0.00
03/15/2026 03:00,H Q,61844,43.14,0.34,0.00
03/15/2026 03:00,HUD VL,61758,43.87,1.07,0.00
03/15/2026 03:00,LONGIL,61762,43.05,0.26,0.00
