Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/16/2026 00:00,CAPITL,61757,41.75,1.33,0.00
03/16/2026 00:00,CENTRL,61754,39.58,-0.93,-0.09
03/16/2026 00:00,DUNWOD,61760,42.15,1.74,0.00
03/16/2026 00:00,GENESE,61753,37.95,-2.47,0.00
03/16/2026 00:00,H Q,61844,40.32,0.08,0.18
03/16/2026 00:00,HUD VL,61758,41.87,1.45,0.00
03/16/2026 00:00,LONGIL,61762,41.79,1.37,0.00
03/16/2026 00:00,MHK VL,61756,41.36,0.32,-0.62
03/16/2026 00:00,MILLWD,61759,42.03,1.62,0.00
03/16/2026 00:00,N.Y.C.,61761,42.44,2.02,0.00
03/16/2026 00:00,NORTH,61755,43.71,0.45,-2.85
03/16/2026 00:00,NPX,61845,43.69,1.41,-1.86
03/16/2026 00:00,O H,61846,35.20,-5.21,0.00
03/16/2026 00:00,PJM,61847,39.00,-1.42,0.00
03/16/2026 00:00,WEST,61752,35.32,-5.09,0.00
03/16/2026 01:00,CAPITL,61757,39.91,1.35,0.00
03/16/2026 01:00,CENTRL,61754,37.20,-0.96,0.39
03/16/2026 01:00,DUNWOD,61760,40.14,1.58,0.00
03/16/2026 01:00,GENESE,61753,34.82,-2.81,0.92
03/16/2026 01:00,H Q,61844,38.33,0.08,0.30
03/16/2026 01:00,HUD VL,61758,39.95,1.39,0.00
03/16/2026 01:00,LONGIL,61762,39.60,1.04,0.00
03/16/2026 01:00,MHK VL,61756,39.87,0.27,-1.04
03/16/2026 01:00,MILLWD,61759,40.06,1.50,0.00
03/16/2026 01:00,N.Y.C.,61761,40.33,1.77,0.00
03/16/2026 01:00,NORTH,61755,43.71,0.39,-4.77
03/16/2026 01:00,NPX,61845,45.70,1.39,-5.75
03/16/2026 01:00,O H,61846,31.63,-5.59,1.34
03/16/2026 01:00,PJM,61847,36.50,-1.43,0.63
03/16/2026 01:00,WEST,61752,31.94,-5.13,1.49
03/16/2026 02:00,CAPITL,61757,39.05,1.32,0.00
03/16/2026 02:00,CENTRL,61754,34.99,-0.91,1.84
03/16/2026 02:00,DUNWOD,61760,39.28,1.55,0.00
03/16/2026 02:00,GENESE,61753,31.56,-2.79,3.38
03/16/2026 02:00,H Q,61844,37.41,0.04,0.36
03/16/2026 02:00,HUD VL,61758,39.09,1.36,0.00
03/16/2026 02:00,LONGIL,61762,38.98,1.24,0.00
03/16/2026 02:00,MHK VL,61756,39.31,0.34,-1.23
03/16/2026 02:00,MILLWD,61759,39.24,1.51,0.00
03/16/2026 02:00,N.Y.C.,61761,39.47,1.74,0.00
03/16/2026 02:00,NORTH,61755,43.71,0.30,-5.68
03/16/2026 02:00,NPX,61845,39.13,1.40,0.00
03/16/2026 02:00,O H,61846,27.49,-5.32,4.92
03/16/2026 02:00,PJM,61847,34.12,-1.28,2.33
03/16/2026 02:00,WEST,61752,27.49,-4.79,5.45
03/16/2026 03:00,CAPITL,61757,37.71,1.24,0.00
03/16/2026 03:00,CENTRL,61754,33.82,-0.88,1.77
03/16/2026 03:00,DUNWOD,61760,37.85,1.39,0.00
03/16/2026 03:00,GENESE,61753,30.80,-2.70,2.97
03/16/2026 03:00,H Q,61844,36.50,0.04,0.01
03/16/2026 03:00,HUD VL,61758,37.74,1.28,0.00
03/16/2026 03:00,LONGIL,61762,37.49,1.02,0.00
03/16/2026 03:00,MHK VL,61756,36.78,0.29,-0.02
03/16/2026 03:00,MILLWD,61759,37.85,1.39,0.00
03/16/2026 03:00,N.Y.C.,61761,38.00,1.53,0.00
03/16/2026 03:00,NORTH,61755,36.84,0.29,-0.08
03/16/2026 03:00,NPX,61845,38.90,1.31,-1.12
03/16/2026 03:00,O H,61846,27.00,-5.14,4.33
03/16/2026 03:00,PJM,61847,33.11,-1.31,2.04
03/16/2026 03:00,WEST,61752,27.05,-4.63,4.79
03/16/2026 04:00,CAPITL,61757,37.60,1.20,0.00
03/16/2026 04:00,CENTRL,61754,34.40,-0.91,1.09
03/16/2026 04:00,DUNWOD,61760,37.86,1.46,0.00
03/16/2026 04:00,GENESE,61753,31.88,-2.69,1.82
03/16/2026 04:00,H Q,61844,36.13,0.11,0.38
03/16/2026 04:00,HUD VL,61758,37.60,1.20,0.00
03/16/2026 04:00,LONGIL,61762,37.35,0.94,0.00
03/16/2026 04:00,MHK VL,61756,38.13,0.36,-1.37
03/16/2026 04:00,MILLWD,61759,37.78,1.38,0.00
03/16/2026 04:00,N.Y.C.,61761,38.00,1.60,0.00
03/16/2026 04:00,NORTH,61755,43.71,0.29,-7.02
03/16/2026 04:00,NPX,61845,40.60,1.27,-2.93
03/16/2026 04:00,O H,61846,28.54,-5.21,2.65
03/16/2026 04:00,PJM,61847,33.80,-1.35,1.25
