Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/13/2026 00:00,CAPITL,61757,47.26,1.02,0.00
03/13/2026 00:00,CENTRL,61754,45.97,-0.28,0.00
03/13/2026 00:00,DUNWOD,61760,48.00,1.76,0.00
03/13/2026 00:00,GENESE,61753,44.44,-1.80,0.00
03/13/2026 00:00,H Q,61844,46.43,0.19,0.00
03/13/2026 00:00,HUD VL,61758,47.72,1.48,0.00
03/13/2026 00:00,LONGIL,61762,48.78,2.54,0.00
03/13/2026 00:00,MHK VL,61756,47.26,1.02,0.00
03/13/2026 00:00,MILLWD,61759,47.86,1.62,0.00
03/13/2026 00:00,N.Y.C.,61761,47.30,2.08,1.03
03/13/2026 00:00,NORTH,61755,46.89,0.65,0.00
03/13/2026 00:00,NPX,61845,46.57,0.33,0.00
03/13/2026 00:00,O H,61846,42.13,-4.12,0.00
03/13/2026 00:00,PJM,61847,41.90,-0.92,3.42
03/13/2026 00:00,WEST,61752,43.00,-3.24,0.00
03/13/2026 01:00,CAPITL,61757,40.90,0.88,0.00
03/13/2026 01:00,CENTRL,61754,39.60,-0.48,-0.05
03/13/2026 01:00,DUNWOD,61760,41.30,1.28,0.00
03/13/2026 01:00,GENESE,61753,37.98,-2.04,0.00
03/13/2026 01:00,H Q,61844,40.24,0.32,0.10
03/13/2026 01:00,HUD VL,61758,41.10,1.08,0.00
03/13/2026 01:00,LONGIL,61762,41.98,1.96,0.00
03/13/2026 01:00,MHK VL,61756,41.26,0.88,-0.36
03/13/2026 01:00,MILLWD,61759,41.18,1.16,0.00
03/13/2026 01:00,N.Y.C.,61761,41.42,1.40,0.00
03/13/2026 01:00,NORTH,61755,42.57,1.00,-1.55
03/13/2026 01:00,NPX,61845,40.34,0.32,0.00
03/13/2026 01:00,O H,61846,35.66,-4.36,0.00
03/13/2026 01:00,PJM,61847,38.82,-1.20,0.00
03/13/2026 01:00,WEST,61752,36.46,-3.56,0.00
03/13/2026 02:00,CAPITL,61757,39.47,0.85,0.00
03/13/2026 02:00,CENTRL,61754,38.30,-0.42,-0.10
03/13/2026 02:00,DUNWOD,61760,39.74,1.12,0.00
03/13/2026 02:00,GENESE,61753,36.69,-1.93,0.00
03/13/2026 02:00,H Q,61844,38.73,0.31,0.20
03/13/2026 02:00,HUD VL,61758,39.59,0.97,0.00
03/13/2026 02:00,LONGIL,61762,40.32,1.70,0.00
03/13/2026 02:00,MHK VL,61756,40.20,0.89,-0.69
03/13/2026 02:00,MILLWD,61759,39.67,1.04,0.00
03/13/2026 02:00,N.Y.C.,61761,39.82,1.20,0.00
03/13/2026 02:00,NORTH,61755,42.57,0.97,-2.98
03/13/2026 02:00,NPX,61845,38.89,0.27,0.00
03/13/2026 02:00,O H,61846,34.49,-4.13,0.00
03/13/2026 02:00,PJM,61847,37.42,-1.20,0.00
03/13/2026 02:00,WEST,61752,35.26,-3.36,0.00
03/13/2026 03:00,CAPITL,61757,39.95,0.90,0.00
03/13/2026 03:00,CENTRL,61754,38.55,-0.51,0.00
03/13/2026 03:00,DUNWOD,61760,40.26,1.21,0.00
03/13/2026 03:00,GENESE,61753,36.94,-2.11,0.00
03/13/2026 03:00,H Q,61844,39.36,0.31,0.00
03/13/2026 03:00,HUD VL,61758,40.07,1.01,0.00
03/13/2026 03:00,LONGIL,61762,40.69,1.64,0.00
03/13/2026 03:00,MHK VL,61756,40.04,0.98,-0.01
03/13/2026 03:00,MILLWD,61759,40.14,1.09,0.00
03/13/2026 03:00,N.Y.C.,61761,40.38,1.33,0.00
03/13/2026 03:00,NORTH,61755,40.08,0.98,-0.05
03/13/2026 03:00,NPX,61845,39.40,0.35,0.00
03/13/2026 03:00,O H,61846,34.60,-4.45,0.00
03/13/2026 03:00,PJM,61847,37.76,-1.29,0.00
03/13/2026 03:00,WEST,61752,35.34,-3.71,0.00
03/13/2026 04:00,CAPITL,61757,40.60,0.87,0.00
03/13/2026 04:00,CENTRL,61754,39.31,-0.52,-0.10
03/13/2026 04:00,DUNWOD,61760,40.88,1.15,0.00
03/13/2026 04:00,GENESE,61753,37.62,-2.11,0.00
03/13/2026 04:00,H Q,61844,39.89,0.36,0.20
03/13/2026 04:00,HUD VL,61758,40.72,0.99,0.00
03/13/2026 04:00,LONGIL,61762,41.47,1.75,0.00
03/13/2026 04:00,MHK VL,61756,41.53,1.11,-0.69
03/13/2026 04:00,MILLWD,61759,40.80,1.07,0.00
03/13/2026 04:00,N.Y.C.,61761,41.04,1.31,0.00
03/13/2026 04:00,NORTH,61755,43.70,1.07,-2.90
03/13/2026 04:00,NPX,61845,39.97,0.24,0.00
03/13/2026 04:00,O H,61846,35.00,-4.73,0.00
03/13/2026 04:00,PJM,61847,38.34,-1.39,0.00
03/13/2026 04:00,WEST,61752,35.79,-3.93,0.00
03/13/2026 05:00,CAPITL,61757,45.04,1.05,0.00
03/13/2026 05:00,CENTRL,61754,43.46,-0.53,0.00
03/13/2026 05:00,DUNWOD,61760,45.53,1.54,0.00
03/13/2026 05:00,GENESE,61753,41.61,-2.38,0.00
03/13/2026 05:00,H Q,61844,44.30,0.31,0.00
03/13/2026 05:00,HUD VL,61758,45.27,1.28,0.00
