Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/14/2026 00:00,CAPITL,61757,42.21,1.07,0.00
03/14/2026 00:00,CENTRL,61754,42.59,-0.91,-2.35
03/14/2026 00:00,DUNWOD,61760,42.79,1.65,0.00
03/14/2026 00:00,GENESE,61753,38.71,-2.43,0.01
03/14/2026 00:00,H Q,61844,41.21,0.21,0.15
03/14/2026 00:00,HUD VL,61758,42.46,1.32,0.00
03/14/2026 00:00,LONGIL,61762,43.33,2.18,0.00
03/14/2026 00:00,MHK VL,61756,42.27,0.62,-0.50
03/14/2026 00:00,MILLWD,61759,42.67,1.52,0.00
03/14/2026 00:00,N.Y.C.,61761,42.95,1.81,0.00
03/14/2026 00:00,NORTH,61755,44.09,0.70,-2.25
03/14/2026 00:00,NPX,61845,42.09,0.95,0.00
03/14/2026 00:00,O H,61846,30.50,-5.39,5.26
03/14/2026 00:00,PJM,61847,36.60,-1.61,2.94
03/14/2026 00:00,WEST,61752,30.05,-5.19,5.91
03/14/2026 01:00,CAPITL,61757,41.48,1.09,0.00
03/14/2026 01:00,CENTRL,61754,41.84,-0.89,-2.34
03/14/2026 01:00,DUNWOD,61760,41.88,1.50,0.00
03/14/2026 01:00,GENESE,61753,38.03,-2.34,0.01
03/14/2026 01:00,H Q,61844,40.40,0.20,0.19
03/14/2026 01:00,HUD VL,61758,41.60,1.21,0.00
03/14/2026 01:00,LONGIL,61762,42.25,1.86,0.00
03/14/2026 01:00,MHK VL,61756,41.66,0.61,-0.67
03/14/2026 01:00,MILLWD,61759,41.76,1.37,0.00
03/14/2026 01:00,N.Y.C.,61761,42.01,1.62,0.00
03/14/2026 01:00,NORTH,61755,44.09,0.73,-2.97
03/14/2026 01:00,NPX,61845,41.28,0.89,0.00
03/14/2026 01:00,O H,61846,30.00,-5.21,5.18
03/14/2026 01:00,PJM,61847,34.79,-1.58,4.02
03/14/2026 01:00,WEST,61752,29.65,-4.93,5.81
03/14/2026 02:00,CAPITL,61757,37.91,0.96,0.00
03/14/2026 02:00,CENTRL,61754,37.00,-0.89,-0.93
03/14/2026 02:00,DUNWOD,61760,38.21,1.26,0.00
03/14/2026 02:00,GENESE,61753,34.58,-2.37,0.01
03/14/2026 02:00,H Q,61844,36.82,0.26,0.40
03/14/2026 02:00,HUD VL,61758,37.99,1.03,0.00
03/14/2026 02:00,LONGIL,61762,38.44,1.48,0.00
03/14/2026 02:00,MHK VL,61756,38.90,0.56,-1.39
03/14/2026 02:00,MILLWD,61759,38.14,1.18,0.00
03/14/2026 02:00,N.Y.C.,61761,38.28,1.33,0.00
03/14/2026 02:00,NORTH,61755,44.00,0.85,-6.19
03/14/2026 02:00,NPX,61845,37.77,0.81,0.00
03/14/2026 02:00,O H,61846,30.00,-5.17,1.78
