Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/12/2026 00:00,CAPITL,61757,31.22,1.17,0.00
03/12/2026 00:00,CENTRL,61754,29.36,-0.69,0.00
03/12/2026 00:00,DUNWOD,61760,31.37,1.32,0.00
03/12/2026 00:00,GENESE,61753,28.25,-1.80,0.00
03/12/2026 00:00,H Q,61844,30.05,0.00,0.00
03/12/2026 00:00,HUD VL,61758,31.08,1.02,0.00
03/12/2026 00:00,LONGIL,61762,32.07,2.01,0.00
03/12/2026 00:00,MHK VL,61756,30.29,0.24,0.00
03/12/2026 00:00,MILLWD,61759,31.29,1.23,0.00
03/12/2026 00:00,N.Y.C.,61761,31.59,1.53,0.00
03/12/2026 00:00,NORTH,61755,30.02,-0.03,0.00
03/12/2026 00:00,NPX,61845,31.08,1.02,0.00
03/12/2026 00:00,O H,61846,26.21,-3.85,0.00
03/12/2026 00:00,PJM,61847,29.00,-1.05,0.00
03/12/2026 00:00,WEST,61752,26.30,-3.76,0.00
03/12/2026 01:00,CAPITL,61757,29.59,1.11,0.00
03/12/2026 01:00,CENTRL,61754,28.05,-0.54,-0.11
03/12/2026 01:00,DUNWOD,61760,29.67,1.20,0.00
03/12/2026 01:00,GENESE,61753,26.71,-1.77,0.00
03/12/2026 01:00,H Q,61844,28.45,-0.03,0.00
03/12/2026 01:00,HUD VL,61758,29.42,0.94,0.00
03/12/2026 01:00,LONGIL,61762,30.19,1.71,0.00
03/12/2026 01:00,MHK VL,61756,28.76,0.28,0.00
03/12/2026 01:00,MILLWD,61759,29.59,1.11,0.00
03/12/2026 01:00,N.Y.C.,61761,29.88,1.40,0.00
03/12/2026 01:00,NORTH,61755,28.36,-0.11,0.00
03/12/2026 01:00,NPX,61845,29.42,0.94,0.00
03/12/2026 01:00,O H,61846,24.58,-3.65,0.25
03/12/2026 01:00,PJM,61847,27.54,-0.85,0.08
03/12/2026 01:00,WEST,61752,24.86,-3.30,0.31
03/12/2026 02:00,CAPITL,61757,28.04,1.05,0.00
03/12/2026 02:00,CENTRL,61754,26.86,-0.49,-0.35
03/12/2026 02:00,DUNWOD,61760,28.02,1.03,0.00
03/12/2026 02:00,GENESE,61753,25.37,-1.62,0.00
03/12/2026 02:00,H Q,61844,26.97,-0.03,0.00
03/12/2026 02:00,HUD VL,61758,27.83,0.84,0.00
03/12/2026 02:00,LONGIL,61762,28.45,1.46,0.00
03/12/2026 02:00,MHK VL,61756,27.24,0.24,0.00
03/12/2026 02:00,MILLWD,61759,27.96,0.97,0.00
03/12/2026 02:00,N.Y.C.,61761,28.21,1.22,0.00
03/12/2026 02:00,NORTH,61755,26.89,-0.11,0.00
03/12/2026 02:00,NPX,61845,27.86,0.86,0.00
03/12/2026 02:00,O H,61846,22.83,-3.38,0.79
03/12/2026 02:00,PJM,61847,25.90,-0.84,0.26
03/12/2026 02:00,WEST,61752,23.00,-3.02,0.97
03/12/2026 03:00,CAPITL,61757,27.62,1.04,0.00
03/12/2026 03:00,CENTRL,61754,26.12,-0.48,-0.01
03/12/2026 03:00,DUNWOD,61760,27.57,0.98,0.00
03/12/2026 03:00,GENESE,61753,25.07,-1.51,0.00
03/12/2026 03:00,H Q,61844,26.56,-0.03,0.00
03/12/2026 03:00,HUD VL,61758,27.44,0.85,0.00
03/12/2026 03:00,LONGIL,61762,27.81,1.22,0.00
03/12/2026 03:00,MHK VL,61756,26.85,0.27,0.00
03/12/2026 03:00,MILLWD,61759,27.52,0.93,0.00
03/12/2026 03:00,N.Y.C.,61761,27.76,1.17,0.00
03/12/2026 03:00,NORTH,61755,26.43,-0.16,0.00
03/12/2026 03:00,NPX,61845,27.41,0.83,0.00
03/12/2026 03:00,O H,61846,23.31,-3.24,0.03
03/12/2026 03:00,PJM,61847,25.70,-0.88,0.01
03/12/2026 03:00,WEST,61752,23.47,-3.08,0.03
03/12/2026 04:00,CAPITL,61757,28.05,1.00,0.00
03/12/2026 04:00,CENTRL,61754,26.59,-0.46,0.00
03/12/2026 04:00,DUNWOD,61760,27.89,0.84,0.00
03/12/2026 04:00,GENESE,61753,25.59,-1.46,0.00
03/12/2026 04:00,H Q,61844,27.05,0.00,0.00
03/12/2026 04:00,HUD VL,61758,27.78,0.73,0.00
03/12/2026 04:00,LONGIL,61762,28.19,1.14,0.00
03/12/2026 04:00,MHK VL,61756,27.38,0.33,0.00
03/12/2026 04:00,MILLWD,61759,27.84,0.78,0.00
03/12/2026 04:00,N.Y.C.,61761,28.08,1.03,0.00
03/12/2026 04:00,NORTH,61755,27.00,-0.05,0.00
03/12/2026 04:00,NPX,61845,27.89,0.84,0.00
03/12/2026 04:00,O H,61846,23.82,-3.22,0.01
03/12/2026 04:00,PJM,61847,26.10,-0.95,0.00
03/12/2026 04:00,WEST,61752,23.96,-3.08,0.01
03/12/2026 05:00,CAPITL,61757,30.27,1.17,0.00
