Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/10/2026 00:00,CAPITL,61757,33.55,0.82,0.00
03/10/2026 00:00,CENTRL,61754,32.34,-0.39,0.00
03/10/2026 00:00,DUNWOD,61760,34.10,1.37,0.00
03/10/2026 00:00,GENESE,61753,31.39,-1.34,0.00
03/10/2026 00:00,H Q,61844,32.83,0.10,0.00
03/10/2026 00:00,HUD VL,61758,33.81,1.08,0.00
03/10/2026 00:00,LONGIL,61762,34.24,1.51,0.00
03/10/2026 00:00,MHK VL,61756,33.22,0.49,0.00
03/10/2026 00:00,MILLWD,61759,34.00,1.28,0.00
03/10/2026 00:00,N.Y.C.,61761,34.27,1.54,0.00
03/10/2026 00:00,NORTH,61755,32.86,0.13,0.00
03/10/2026 00:00,NPX,61845,33.42,0.69,0.00
03/10/2026 00:00,O H,61846,30.01,-2.72,0.00
03/10/2026 00:00,PJM,61847,32.01,-0.72,0.00
03/10/2026 00:00,WEST,61752,30.14,-2.59,0.00
03/10/2026 01:00,CAPITL,61757,30.89,0.75,0.00
03/10/2026 01:00,CENTRL,61754,29.69,-0.45,0.00
03/10/2026 01:00,DUNWOD,61760,31.34,1.21,0.00
03/10/2026 01:00,GENESE,61753,28.72,-1.42,0.00
03/10/2026 01:00,H Q,61844,30.26,0.12,0.00
03/10/2026 01:00,HUD VL,61758,31.10,0.96,0.00
03/10/2026 01:00,LONGIL,61762,31.50,1.36,0.00
03/10/2026 01:00,MHK VL,61756,30.62,0.48,0.00
03/10/2026 01:00,MILLWD,61759,31.25,1.12,0.00
03/10/2026 01:00,N.Y.C.,61761,31.50,1.36,0.00
03/10/2026 01:00,NORTH,61755,30.38,0.24,0.00
03/10/2026 01:00,NPX,61845,30.80,0.66,0.00
03/10/2026 01:00,O H,61846,27.34,-2.80,0.00
03/10/2026 01:00,PJM,61847,29.35,-0.78,0.00
03/10/2026 01:00,WEST,61752,27.49,-2.65,0.00
03/10/2026 02:00,CAPITL,61757,30.03,0.62,0.00
03/10/2026 02:00,CENTRL,61754,29.11,-0.29,0.00
03/10/2026 02:00,DUNWOD,61760,30.52,1.12,0.00
03/10/2026 02:00,GENESE,61753,28.23,-1.18,0.00
03/10/2026 02:00,H Q,61844,29.55,0.15,0.00
03/10/2026 02:00,HUD VL,61758,30.29,0.88,0.00
03/10/2026 02:00,LONGIL,61762,30.64,1.23,0.00
03/10/2026 02:00,MHK VL,61756,29.88,0.47,0.00
03/10/2026 02:00,MILLWD,61759,30.41,1.00,0.00
03/10/2026 02:00,N.Y.C.,61761,30.70,1.29,0.00
03/10/2026 02:00,NORTH,61755,29.76,0.35,0.00
03/10/2026 02:00,NPX,61845,29.82,0.41,0.00
03/10/2026 02:00,O H,61846,27.03,-2.38,0.00
03/10/2026 02:00,PJM,61847,28.76,-0.65,0.00
03/10/2026 02:00,WEST,61752,27.26,-2.15,0.00
03/10/2026 03:00,CAPITL,61757,29.46,0.61,0.00
03/10/2026 03:00,CENTRL,61754,28.56,-0.29,0.00
03/10/2026 03:00,DUNWOD,61760,29.75,0.90,0.00
03/10/2026 03:00,GENESE,61753,27.67,-1.18,0.00
03/10/2026 03:00,H Q,61844,29.05,0.20,0.00
03/10/2026 03:00,HUD VL,61758,29.54,0.69,0.00
03/10/2026 03:00,LONGIL,61762,29.77,0.92,0.00
03/10/2026 03:00,MHK VL,61756,29.37,0.52,0.00
03/10/2026 03:00,MILLWD,61759,29.66,0.81,0.00
03/10/2026 03:00,N.Y.C.,61761,29.89,1.04,0.00
03/10/2026 03:00,NORTH,61755,29.34,0.49,0.00
03/10/2026 03:00,NPX,61845,29.20,0.35,0.00
03/10/2026 03:00,O H,61846,26.46,-2.39,0.00
03/10/2026 03:00,PJM,61847,28.10,-0.75,0.00
03/10/2026 03:00,WEST,61752,26.72,-2.13,0.00
03/10/2026 04:00,CAPITL,61757,31.87,0.69,0.00
03/10/2026 04:00,CENTRL,61754,30.90,-0.28,0.00
03/10/2026 04:00,DUNWOD,61760,32.06,0.87,0.00
03/10/2026 04:00,GENESE,61753,30.16,-1.03,0.00
03/10/2026 04:00,H Q,61844,31.40,0.22,0.00
03/10/2026 04:00,HUD VL,61758,31.87,0.69,0.00
03/10/2026 04:00,LONGIL,61762,32.12,0.93,0.00
03/10/2026 04:00,MHK VL,61756,31.75,0.56,0.00
03/10/2026 04:00,MILLWD,61759,31.97,0.78,0.00
